Date,Close/Last,Volume,Open,High,Low,Day
08/25/2021,164.96,33606120,165.49,166.05,164.31,380
08/26/2021,165.80,41975220,164.95,166.60,164.80,381
08/27/2021,167.48,48047380,166.66,167.62,165.69,382
08/30/2021,171.08,63844880,167.87,172.25,167.76,383
08/31/2021,173.54,87128260,171.24,173.63,169.78,384
09/01/2021,173.95,72598220,174.82,176.35,173.76,385
09/02/2021,173.16,58511880,174.74,175.60,172.75,386
09/03/2021,173.90,51566480,172.60,174.13,171.82,387
09/07/2021,175.46,54823680,173.90,176.40,173.85,388
09/08/2021,176.28,61067280,175.58,177.28,174.78,389
09/09/2021,174.21,54384820,176.30,177.50,174.02,390
09/10/2021,173.46,47945380,175.09,175.42,173.15,391
09/13/2021,172.86,51380440,174.14,174.90,171.90,392
09/14/2021,172.50,38737940,173.78,174.34,171.89,393
09/15/2021,173.79,59150740,172.13,174.27,170.10,394
09/16/2021,174.41,51671960,173.00,174.63,172.31,395
09/17/2021,173.13,92331120,174.42,174.87,172.61,396
09/20/2021,167.79,93382600,169.80,170.95,165.25,397
09/21/2021,167.18,55617560,168.75,168.99,166.62,398
09/22/2021,169.00,48228060,167.55,169.45,167.05,399
09/23/2021,170.80,47588280,169.00,171.45,169.00,400
09/24/2021,171.28,42324820,170.10,171.46,169.67,401
09/27/2021,170.29,72689000,168.58,170.78,166.98,402
09/28/2021,165.80,88616380,167.89,168.46,164.51,403
09/29/2021,165.06,51245360,166.11,167.57,164.89,404
09/30/2021,164.25,56940660,165.80,166.39,163.70,405
10/01/2021,164.16,56712340,164.45,165.46,162.80,406
10/04/2021,159.49,90461140,163.97,164.00,158.81,407
10/05/2021,161.05,65384160,160.23,163.04,160.12,408
10/06/2021,163.10,50659540,160.68,163.22,159.93,409
10/07/2021,165.12,48181500,164.58,166.29,164.15,410
10/08/2021,164.43,39964340,165.85,166.07,164.41,411
10/11/2021,162.32,40684060,163.75,164.63,161.91,412
10/12/2021,162.37,36391420,162.85,163.38,161.81,413
10/13/2021,164.21,48501720,163.49,164.42,163.05,414
10/14/2021,164.99,42240400,165.12,165.63,164.54,415
10/15/2021,170.45,103598820,165.57,170.52,165.20,416
10/18/2021,172.34,63482300,169.42,172.46,169.26,417
10/19/2021,172.21,47721580,171.71,172.73,171.10,418
10/20/2021,170.75,42795540,172.63,173.14,170.02,419
10/21/2021,171.75,37627700,170.71,172.01,170.15,420
10/22/2021,166.78,62781060,171.05,171.49,166.57,421
10/25/2021,166.02,44519120,166.75,167.39,164.89,422
10/26/2021,168.80,53966840,167.48,170.81,167.20,423
10/27/2021,169.62,54044480,169.40,171.85,168.57,424
10/28/2021,172.33,114174660,170.10,173.95,169.30,425
10/29/2021,168.62,129721540,165.00,168.74,163.67,426
11/01/2021,165.91,72177580,168.09,168.79,164.60,427
11/02/2021,165.64,52551800,165.75,166.56,164.18,428
11/03/2021,169.20,67943780,165.45,169.75,164.88,429
11/04/2021,173.85,107060400,168.50,174.93,168.25,430
11/05/2021,175.95,99939020,173.85,178.31,173.85,431
11/08/2021,174.45,61479840,176.16,178.95,174.39,432
11/09/2021,178.81,85898440,175.76,179.69,175.07,433
11/10/2021,174.10,80548440,178.19,180.27,173.15,434
11/11/2021,173.63,45288120,175.65,177.16,173.37,435
11/12/2021,176.26,53788680,174.25,177.04,172.35,436
11/15/2021,177.28,58594380,176.85,179.69,176.29,437
11/16/2021,177.04,44341420,176.95,178.83,176.26,438
11/17/2021,177.45,51205400,178.24,179.36,177.27,439
11/18/2021,184.80,114070760,178.32,185.21,178.05,440
11/19/2021,183.83,98924060,185.63,188.11,183.79,441
11/22/2021,178.63,96957000,183.82,185.67,178.38,442
11/23/2021,179.00,73844920,179.25,181.05,176.39,443
11/24/2021,179.02,46560360,178.13,180.68,176.84,444
11/26/2021,175.23,59825940,180.10,181.68,175.21,445
11/29/2021,178.08,65311140,177.38,179.80,176.58,446
11/30/2021,175.35,80022140,178.18,179.29,174.60,447
12/01/2021,172.19,75139900,177.25,177.99,172.08,448
12/02/2021,171.87,64725760,173.00,174.64,171.19,449
12/03/2021,169.49,80711000,172.75,173.49,166.93,450
12/06/2021,171.37,68860000,169.65,173.70,166.93,451
12/07/2021,176.16,66410720,174.60,177.50,173.33,452
12/08/2021,176.16,45253660,176.15,177.18,174.75,453
12/09/2021,174.17,46061820,175.75,176.97,174.14,454
12/10/2021,172.21,60689760,175.42,175.93,170.50,455
12/13/2021,169.57,62169000,172.00,172.10,169.13,456
12/14/2021,169.09,55975280,167.55,169.50,166.44,457
12/15/2021,173.32,75794260,168.60,173.60,165.20,458
12/16/2021,168.87,60876840,173.37,174.17,168.16,459
12/17/2021,170.02,85755160,167.71,170.90,165.61,460
12/20/2021,167.08,57372660,166.85,167.87,165.60,461
12/21/2021,170.42,55955820,167.85,170.72,165.65,462
12/22/2021,171.04,55035460,169.27,172.05,168.50,463
12/23/2021,171.07,36788240,170.43,171.98,170.15,464
12/27/2021,169.67,58846820,171.04,172.94,169.22,465
12/28/2021,170.66,54711860,170.18,172.18,169.14,466
12/29/2021,169.20,35754040,170.84,171.21,168.60,467
12/30/2021,168.64,37583100,169.70,170.89,168.52,468
12/31/2021,166.72,47830380,168.96,169.35,166.56,469
01/03/2022,170.40,63869140,167.55,170.70,166.16,470
01/04/2022,167.52,70725160,170.44,171.40,166.35,471
01/05/2022,164.36,64302720,166.88,167.13,164.36,472
01/06/2022,163.25,51957780,163.45,164.80,161.94,473
01/07/2022,162.55,46605900,163.84,165.24,162.03,474
01/10/2022,161.49,87798300,160.59,161.66,156.30,475
01/11/2022,165.36,62805580,161.50,166.35,160.70,476
01/12/2022,165.21,50029120,166.58,166.88,164.42,477
01/13/2022,161.21,52188300,165.25,166.22,161.09,478
01/14/2022,162.14,45974860,160.15,162.25,159.80,479
01/18/2022,158.92,67441440,159.11,159.73,157.66,480
01/19/2022,156.30,53241920,158.76,159.25,156.25,481
01/20/2022,151.67,71973320,156.77,158.00,151.35,482
01/21/2022,142.64,163971440,149.95,150.90,142.07,483
01/24/2022,144.54,156044740,139.00,144.95,135.35,484
01/25/2022,139.99,90824660,142.24,143.60,138.15,485
01/26/2022,138.87,95601700,144.75,145.18,137.32,486
01/27/2022,139.64,77515800,140.80,144.24,139.35,487
01/28/2022,143.98,74391980,140.86,144.00,137.93,488
01/31/2022,149.57,78307440,144.75,150.36,144.30,489
02/01/2022,151.19,59219840,150.00,151.71,147.63,490
02/02/2022,150.61,87329760,155.05,155.08,148.86,491
02/03/2022,138.85,225531400,141.74,144.25,138.33,492
02/04/2022,157.64,253455800,155.61,161.20,150.61,493
02/07/2022,157.94,102624380,158.52,162.69,157.25,494
02/08/2022,161.41,76040360,156.75,161.79,155.55,495
02/09/2022,161.19,68785600,162.87,163.83,160.25,496
